 = 231
andevery = 2
andexperienced = 2
andfalling = 7
andfathers = 2
andflung = 7
andforget = 7
andfret = 7
andfroth = 7
andgrinding = 2
andhalf = 2
andharbours = 7
andhe = 9
andhere = 7
andhigher = 7
andhimself = 4
andhis = 7
andhongk = 2
andhongking = 2
andid = 7
andif = 2
andinforming = 7
andit = 10
andleast = 2
andlouder = 2
andmate = 2
andmeantime = 2
andmerry = 7
andmighty = 2
andmoor = 7
andmy = 7
andordered = 2
andother = 2
andpans = 2
andperil = 7
andphysical = 7
andplunged = 2
andreappearing = 2
andrenewed = 7
andresearchthey = 2
andround = 7
andscreaming = 7
andsearch = 7
andseasoned = 7
andsent = 2
andshe = 2
andshook = 7
andsmall = 2
andsnever = 4
andsniffed = 2
andsolitary = 2
andsomething = 7
andson = 7
andspring = 2
andstarboard = 2
andstarted = 2
andstood = 7
andstretched = 2
andstrong = 2
andstruck = 7
andstruggled = 7
andswirling = 2
andthe = 22
andthence = 2
andthere = 9
andtheyre = 7
andthither = 2
andthree = 2
andtis = 7
andto = 2
andtrembled = 2
andused = 7
andwalked = 2
andwanted = 7
andwent = 2
andwhen = 7
andwhined = 2
andwirythe = 7
andwith = 2
andwomen = 2
andy = 2
aneager = 7
anespecially = 2
anew = 2
anewfoundland = 9
anexciting = 2
angered = 2
angrily = 9
angrowlers = 2
angry = 11
angrystrength = 7
anill = 7
animal = 2
animated = 2
animosity = 2
anindividual = 2
anindulgence = 7
aninstant = 2
annual = 2
another = 49
anotherbillys = 7
anotherwhats = 2
answer = 25
answered = 24
answereddo = 2
answeredyou = 7
answergone = 2
answering = 6
answeringshout = 2
answers = 2
answertis = 7
anthenthus = 7
antiquarian = 7
anuncommon = 2
anxiety = 14
anxious = 13
anxiously = 13
anxiousthan = 7
any = 121
anybody = 2
anyhow = 9
anymoment = 7
anymoney = 2
anyone = 11
anyonefor = 2
anyoneproviding = 2
anyoull = 2
anyparticular = 2
anyproject = 2
anyprovision = 2
anything = 13
anywhere = 12
anywherewhere = 7
anyword = 2
apack = 2
aparrots = 7
apart = 17
apartit = 7
apartthus = 2
apassage = 7
apassion = 2
aphosphorescent = 2
apiece = 7
apoint = 7
apology = 12
aposition = 2
apouterpigeon = 2
appalling = 2
apparent = 2
apparently = 19
apparentlyextended = 7
apparentlylying = 2
apparentlythe = 2
apparentto = 2
appear = 17
appearance = 2
appearanceswas = 2
appeared = 31
appearing = 9
appears = 11
applicable = 6
apply = 2
approach = 17
approachand = 2
approaching = 13
approachingand = 7
approachingcould = 7
april = 2
aquiver = 7
arace = 2
arather = 2
arch = 31
archbutt = 2
arched = 4
archibald = 23
archibaldarmstrong = 2
archibaldchapter = 7
archibaldfor = 2
archibaldno = 2
archibalds = 2
archibaldwhen = 2
archie = 176
archiearmstrong = 9
archiebilly = 2
archiecould = 2
archiehalf = 2
archieoh = 2
archies = 18
archiesaid = 2
archieteeth = 2
archiethe = 4
archieyou = 2
arching = 2
architeuthisprincepsenumerated = 7
archive = 32
archivefoundationthe = 2
arctic = 9
ardently = 2
are = 142
area = 4
areas = 2
arecarried = 2
arecaught = 2
arefuge = 2
arefundif = 2
arelocated = 2
aretrue = 2
argument = 10
arise = 2
arm = 63
armand = 7
armed = 2
arms = 77
armsafely = 2
armsand = 2
armsbut = 7
armseli = 7
armstrong = 57
armstrongfinds = 2
armstrongs = 6
armstrongsattentionarchie = 2
armstwo = 7
armthe = 7
around = 27
aroundstand = 2
aroused = 2
arrived = 2
arrow = 4
article = 10
as = 601
asa = 10
asafe = 7
ascent = 13
aschool = 9
ascii = 4
asealin = 2
asealing = 2
ashamed = 11
ashe = 2
asheltera = 2
ashesitate = 7
ashoarean = 4
ashore = 31
ashorehe = 7
ashoreso = 7
ashoresure = 7
aside = 7
asif = 7
asinking = 2
asis = 2
ask = 6
asked = 31
askedbut = 7
askedi = 7
askedive = 2
askedtis = 2
askedyes = 7
askiff = 7
asleep = 13
aslittle = 2
asmissionaries = 7
asneer = 2
aspace = 2
aspatiently = 7
aspeechthere = 2
asquid = 7
asseemed = 2
asshe = 2
associated = 16
associates = 7
assurance = 9
assured = 2
astern = 6
asternnow = 2
asterntake = 2
asthe = 4
asthey = 2
asthough = 4
astorm = 2
astunning = 2
asturdy = 7
asudden = 7
aswide = 7
asyou = 7
at = 596
atany = 7
ateleven = 2
atfull = 2
athandbill = 2
athandsure = 7
athousand = 2
atlantic = 7
atlast = 2
atop = 7
atrue = 7
attached = 15
attachedhimself = 2
attachedto = 2
attachment = 7
attack = 16
attackchapter = 7
attacked = 12
attacking = 2
attacks = 2
attempt = 9
attempted = 13
attempting = 10
attention = 19
attentionhas = 7
attentionyoure = 2
atthe = 10
atticnever = 7
attitude = 7
attract = 2
attracted = 4
atwwwgutenbergorglicensesection = 2
audible = 2
aunt = 6
authenticate = 7
authority = 4
authorsthanks = 7
autumn = 7
available = 11
avenuechicago = 7
avenuetoronto = 7
aviolent = 2
await = 4
awaited = 6
awaiting = 2
awake = 11
awakened = 7
aware = 4
awaste = 2
away = 99
awayand = 10
awayfaint = 2
awayfrom = 7
awayin = 2
awaynot = 2
awaythe = 4
awaythey = 10
awayvery = 7
awaywith = 7
awayyou = 2
aweimpelling = 2
awestrickenebenezer = 2
awful = 10
awhisper = 7
awkward = 10
awkwardsurely = 7
awoke = 7
aword = 4
awritten = 2
axe = 22
axechapter = 7
axes = 2
ay = 22
aye = 13
b = 4
baby = 2
back = 184
backanoffshore = 7
backed = 9
backhello = 2
backit = 7
backno = 2
backoh = 7
backs = 4
backstays = 2
backthe = 7
backto = 7
backward = 10
backwell = 2
bad = 41
badchapter = 7
badly = 2
bag = 20
bagenough = 2
bagit = 2
bail = 10
bailbucket = 7
bailed = 10
bailing = 4
bailinthe = 2
bailthe = 2
bait = 13
baitchapter = 7
ballad = 2
ballast = 10
banks = 9
bar = 4
barbed = 10
barbeda = 7
barbrous = 2
barbs = 2
bare = 13
baredteethstrike = 2
barest = 2
bargained = 2
bark = 7
barkedthrow = 2
barking = 2
barks = 7
barlman = 2
barque = 2
barques = 2
barrel = 9
barren = 10
barrier = 4
barrierchapter = 2
barrierquietly = 2
base = 9
baseball = 7
based = 4
basin = 10
basinbut = 7
bath = 7
batthere = 2
battlelight = 2
bay = 110
bay3it = 7
bayand = 10
baybilly = 2
bayebenezer = 2
bayexploits = 2
baylukies = 2
bays = 11
baythere = 2
bblacksir = 2
be = 608
bea = 2
beak = 10
beakand = 7
beakhe = 7
beakwhen = 7
beall = 2
bear = 19
beardfrozen = 2
beardspeech = 2
bearers = 2
bearin = 2
bearing = 2
bearings = 7
beast = 2
beat = 47
beaten = 4
beating = 20
beatingtowards = 7
beatwith = 2
bebill = 2
became = 2
becaught = 2
because = 20
becausethe = 2
bechoked = 2
beckoned = 9
becky = 2
become = 11
becoming = 7
becomparatively = 7
becrushed = 7
bed = 11
bedif = 2
bedroom = 7
bedside = 2
bedthere = 2
been = 274
beena = 2
beenaground = 7
beenbetter = 2
beencrushed = 2
beeninevitable = 2
beenreported = 2
beenthe = 2
beenunfailingly = 2
beexperience = 7
befall = 2
befell = 9
before = 134
beforedanger = 2
beforehongk = 2
beforein = 7
beforetis = 2
beforeyou = 2
befound = 2
befour = 7
befree = 2
befreedwe = 2
befreely = 2
beg = 10
began = 59
beganto = 7
beginning = 14
begins = 7
begoin = 7
behaviour = 16
behind = 49
behindthe = 2
beholden = 7
bein = 7
being = 22
beinterpreted = 2
belated = 2
beliable = 2
believe = 13
believebut = 7
believed = 4
believedthatwho = 2
believedthemselves = 2
believing = 2
bell = 2
bells = 2
belocked = 2
belong = 2
below = 39
below1cthe = 2
below1f1f1project = 2
belowthere = 2
belowtween = 2
belowwas = 2
belowwould = 7
bending = 7
beneath = 13
beno = 7
bent = 15
beofffive = 2
beperceivednot = 2
bepossible = 7
berated = 2
berg = 39
bergand = 7
bergbilly = 2
berghi = 2
bergs = 15
bergsi = 2
bergstis = 2
bergthe = 2
bergwith = 2
berth = 10
berthbut = 7
berthwhats = 2
beseeching = 7
beseennone = 2
beshaken = 2
beships = 2
beside = 9
best = 33
besthe = 7
betaken = 7
betakena = 2
betold = 2
betray = 7
better = 47
bettercaptain = 2
bettersense = 2
betterswimmer = 7
between = 52
betweenaspace = 7
betweenthe = 7
betweenthem = 7
beused = 2
beweatheredgoodbye = 2
beyond = 68
beyonda = 2
beyondall = 2
beyondfrom = 2
beyondin = 2
beyondquestion = 7
beyondthe = 4
bid = 2
bidden = 7
bide = 13
bidehere = 7
bidesir = 2
bidethe = 2
big = 74
bigdog = 7
bigenough = 7
bigger = 10
biggest = 2
bigrough = 7
bigsquids = 7
bigyou = 7
bill = 200
bill326the = 7
billand = 2
billbut = 2
billet = 7
billgrasped = 2
billlad = 7
billleave = 2
billo = 2
billonce = 2
bills = 8
billsaid = 2
billsarms = 2
billwas = 2
billwatt = 2
billy = 618
billyay = 4
billybut = 7
billycast = 2
billychapter = 2
billydo = 2
billyes = 2
billyestimated = 7
billygive = 2
billyheaved = 7
billyi = 2
billyis = 4
billyit = 7
billyleaped = 7
billyneeded = 2
billynever = 7
billys = 33
billysure = 2
billythe = 4
billytis = 10
billytopsail = 15
billytopsails = 4
billywanders = 7
billywas = 2
binarycompressed = 2
birds = 7
biscuitwith = 2
bit = 14
bite = 7
bites = 7
bitter = 11
bittercold = 2
bitterly = 9
bitterness = 7
bizarre = 7
black = 78
blackershadow = 2
blacknessall = 7
bladderlike = 2
blamehimself = 2
blankly = 2
blast = 2
blastchapter = 2
blasting = 2
blasts = 2
blazed = 9
bleak = 14
blind = 14
blinded = 12
blinding = 16
blindingstorm = 2
blindly = 10
blindlyand = 7
blizzard = 16
block = 4
blocked = 2
blockedthey = 7
blocks = 6
blood = 12
bloodred = 7
bloodshed = 2
blow = 37
blowhole = 2
blowholes = 2
blowholetwo = 2
blowing = 32
blowit = 2
blown = 2
blows = 6
blowsskipper = 7
blowwhen = 7
blubber = 6
bludgel = 2
blue = 22
blueblack = 7
blueeyed = 2
bluff = 12
bluffher = 2
bluffs = 10
bluffthe = 2
blundered = 7
blunt = 7
blurred = 2
board = 7
boardedbilly = 2
boast = 7
boasted = 9
boat = 174
boata = 2
boatan = 7
boatchapter = 7
boathad = 7
boathalf = 7
boathe = 10
boatlost = 7
boatno = 7
boatperceiving = 7
boats = 23
boatsit = 2
boatthat = 7
boatthe = 2
boatthis = 7
boatwrithing = 7
bobbing = 9
bobby = 229
bobbyaboard = 7
bobbyanother = 7
bobbyay = 7
bobbyaye = 7
bobbybilly = 7
bobbyhe = 7
bobbyoh = 2
bobbypicked = 7
bobbyremarked = 7
bobbys = 24
bobbysears = 7
bobbyslife = 7
bobbysnew = 7
bobbyspunt = 2
bobbysthat = 2
bobbythere = 2
bobbywould = 7
bodies = 11
bodily = 7
body = 40
bodybe = 2
bodybroad = 7
bodyhe = 2
bodythat = 2
boisterouslywell = 2
bold = 9
bolder = 10
boldestto = 2
bomb = 2
bones = 7
book = 13
books = 11
booksand = 2
bookto = 7
bookyou = 7
boom = 8
boot = 2
boots = 19
bootsand = 7
bore = 2
born = 19
borne = 4
bornedown = 7
both = 42
botha = 7
bother = 2
botheredwith = 2
bothhands = 7
bothskippers = 2
bottle = 22
bottom = 19
bottomand = 7
bottomed = 7
bottomin = 7
boughs = 7
bought = 13
bound = 30
bounded = 11
bounding = 9
bounds = 2
boundwhen = 2
bounteous = 2
bow = 67
bowas = 7
bowha = 2
bowhe = 10
bowl = 2
bows = 16
bowsprit = 12
bowspritillustration = 2
bowthe = 2
box = 6
boy = 116
boyget = 2
boyhe = 2
boyhood = 2
boyi = 2
boyill = 2
boyish = 2
boys = 66
boysbody = 7
boysprotests = 2
brands = 2
brave = 14
bravely = 2
bravelyto = 2
braver = 7
bravespirit = 2
brawny = 2
breach = 4
bread = 2
break = 22
breaker = 9
breakers = 16
breakersso = 7
breakerssurrounded = 7
breakfast = 11
breakfastpork = 2
breakfastwhen = 2
breakheart = 15
breakin = 10
breaking = 42
breakingagainst = 7
breaks = 2
breakup = 2
breast = 14
breasted = 2
breastedhis = 2
breath = 31
breathing = 6
breathless = 7
breaththe = 7
bred = 12
breed = 7
breeding = 2
breedingto = 2
breeze = 19
brewingit = 2
bridge = 40
bridgeand = 2
bridgein = 2
bridgeregardless = 2
bridgethe = 2
bridgewith = 2
brief = 7
briefly = 2
brighthadweakened = 2
brightly = 9
brightness = 7
brilliantand = 7
bring = 7
bringing = 2
brings = 2
bringthe = 7
brisk = 2
bristle = 2
bristlingominously = 2
british = 7
broad = 36
broadkindly = 2
broadly = 9
broadside = 4
broke = 49
brokehis = 7
broken = 40
brokenrock = 7
brokenteeth = 7
brooklyn = 7
brought = 35
broughthim = 7
broughtthe = 2
brow = 16
brown = 7
brows = 2
bruce = 23
bruceunaware = 2
bruise = 11
bruised = 2
brush = 13
brushed = 2
brute = 2
bryan = 10
bucket = 2
buckle = 2
builded = 2
built = 11
bulging = 7
bull = 7
bumped = 2
bumping = 7
bunker = 2
buoyed = 10
burden = 2
burdenwas = 2
burningin = 2
burns = 10
burnt = 71
burntbay = 6
burst = 21
bushy = 2
busied = 2
business = 19
busted = 2
but = 604
butbobby = 7
butdid = 2
butimwonderful = 2
butin = 2
butlightened = 2
butt = 6
butthere = 9
buttheyre = 7
butts = 2
buttwonderful = 7
butwhere = 2
butwhether = 2
by = 530
byan = 4
byand = 2
byarchie = 2
bybilly = 2
byexamining = 2
byfleming = 7
byfreely = 2
byhim = 2
byinch = 7
byinstantuntil = 2
bykeeping = 2
bymaybemaybe = 2
bys = 13
bythe = 9
bythey = 7
bytired = 7
bywhich = 7
byyour = 2
c = 2
cabin = 10
cabinchapter = 7
cabindreaming = 2
cabinhis = 2
cabinit = 2
cake = 12
cakepassed = 2
cakes = 4
cakesaplenty = 2
calculate = 2
calculated = 2
calf = 7
calk = 2
calking = 4
call = 41
calla = 7
called = 50
calledbobby = 7
calledfor = 2
calledhe = 7
calledthem = 2
calling = 11
calls = 2
callwhatever = 2
calm = 9
calmly = 11
calmlythe = 2
calmlywaited = 2
came = 245
camebilly = 7
camenear = 7
camesafe = 2
cameto = 9
can = 90
canadian = 7
cancarry = 7
candle = 2
candlelantern = 2
canit = 7
canmanage = 7
cannot = 10
canprodooce = 2
canreceive = 2
cant = 42
canttis = 2
canvas = 6
canvaseasy = 7
cap = 9
cape = 11
caplin = 9
capn = 16
capnblack = 2
capsized = 10
capsizedfor = 7
capsizedlook = 2
capsizedwhen = 7
captain = 253
captaina = 2
captainanxiousin = 2
captainay = 2
captainbefore = 2
captainbegan = 2
captainhad = 2
captainhe = 2
captainordered = 2
captains = 24
captainshouted = 2
captainwhen = 2
captainwho = 2
captainyes = 2
capthe = 7
capture = 10
captured = 7
capturethat = 7
card = 2
care = 19
cared = 7
career = 2
careful = 2
carefully = 9
carefulwarned = 2
careless = 4
carelessness = 9
caresabout = 2
cargoay = 2
cargodid = 2
cargoes = 2
cargothe = 2
carpenters = 2
carried = 51
carriedaway = 2
carriedhis = 7
carry = 20
carrying = 2
carrythat = 2
case = 22
caseand = 7
casei = 7
cases = 11
casethe = 7
cask = 10
caskssplinters = 2
cast = 30
casting = 10
castoff = 2
castoffthat = 7
cat = 2
catastrophe = 2
catastrophechapter = 7
catastrophethrough = 2
catcallfrom = 2
catch = 24
catching = 9
catchwhen = 7
caught = 101
caughthim = 2
caughtin = 7
caughtsight = 2
caughtthe = 7
cause = 2
causesection2information = 2
caution = 26
cautionedarchie = 2
cautionthat = 2
cautious = 7
cautiousfor = 7
cautiously = 12
cautiouslygaff = 2
cave = 7
cavechapter = 7
cease = 2
ceased = 16
ceasedgone = 2
centre = 7
centurywith = 2
cephalopod = 10
cephalopods = 10
cephalopods2 = 7
cephalopodsof = 7
ceremony = 2
certain = 6
cessation = 2
chain = 24
chainsand = 2
chaintickle = 7
chainticklewhats = 7
chair = 2
chairand = 2
chance = 46
chanced = 25
chancedhimself = 2
chancedupon = 2
chances = 2
chancesfootnote7 = 2
chanceshe = 2
chancet = 2
chancethere = 7
chancing = 7
change = 12
changeable = 2
changed = 34
changedoh = 7
changeif = 2
changemight = 7
changeof = 7
changestheres = 2
changing = 11
channel = 2
channels = 2
channelsbetween = 2
character = 7
characteristic = 7
charge = 18
charged = 4
charges = 9
chargesif = 2
charging = 2
charitable = 2
chart = 2
chase = 20
chaseskipper = 7
chasing = 2
chatteredsure = 2
chattering = 2
check = 4
checks = 2
checkthe = 2
checkwhen = 7
cheeks = 7
cheer = 4
cheered = 7
cheerful = 12
cheerfully = 2
cheerfullythrew = 7
cheering = 2
cheery = 2
cheerysong = 2
cherry = 10
chest = 2
chidley = 2
child = 11
children = 13
childs = 7
chilled = 2
chip = 2
choking = 2
choose = 18
choosing = 2
choppy = 16
choppyand = 7
choppyrippling = 7
choppysea = 7
chorus = 6
chose = 13
chosen = 4
chuckle = 7
chuckled = 2
chug = 4
chugchug = 2
chugchugged = 2
chugchugging = 2
chunksthey = 7
church = 7
churned = 2
churning = 9
circle = 15
circlefeeding = 2
circulationtis = 2
circumference = 7
circumstances = 2
cities = 7
city = 4
cityson = 2
civilization = 7
clad = 2
claim = 2
clamber = 7
clamberaboard = 7
clambered = 6
clap = 7
clapped = 2
claws = 7
clean = 2
clear = 37
cleared = 4
clearfrom = 7
clearly = 2
clenched = 2
clerk = 7
clever = 22
cleverly = 4
clewedup = 2
cliff = 67
cliffclimber = 7
cliffi = 7
cliffs = 17
cliffsand = 7
cliffthatwas = 7
cliffthe = 7
climb = 22
climbed = 15
climbing = 10
cling = 7
clinging = 2
clog = 10
clog1 = 7
clogged = 7
close = 65
closeby = 2
closed = 9
closedbehind = 7
closedin = 7
closely = 9
closepacked = 2
closer = 7
closertwo = 2
closest = 7
closethe = 2
closing = 15
cloth = 13
clothes = 19
clotheshe = 2
cloudless = 2
clouds = 31
cloudy = 2
cloudywhite = 2
club = 13
clumpers = 2
clustereda = 2
clutch = 9
clyde = 4
coast = 69
coastal = 2
coastbill = 2
coasting = 2
coastreturning = 2
coasts = 9
coastwith = 7
coats = 4
cocked = 7
cockle = 2
cod = 2
codes = 2
coiled = 2
cold = 60
coldalmost = 7
coldcold = 7
coldseas = 2
coldslipped = 2
collapsed = 2
collar = 14
collaryoull = 7
collection = 4
collision = 2
collisionthe = 2
colonial = 2
colony = 12
colour = 7
colourof = 7
colours = 2
colourwith = 2
come = 112
comebilly = 2
comein = 2
comes = 20
comethere = 7
comewithin = 2
comfort = 2
comfortable = 9
comfortableno = 2
comforting = 2
comforts = 7
comin = 26
coming = 8
comingin = 2
comingnearer = 7
command = 18
commanded = 14
commandof = 4
commands = 7
commandthe = 2
commercialredistribution = 2
commission = 2
commissioner = 7
committed = 2
common = 10
commondangers = 2
commonsense = 2
commonwhats = 2
commotion = 2
communicated = 4
communication = 7
companion = 10
companionship = 7
company = 19
companyall = 7
companylondon = 7
companynew = 7
companypublishers = 7
companys = 2
companyslucky = 2
comparatively = 7
compassionate = 7
compilation = 2
complain = 9
complaining = 2
complaint = 4
complete = 9
completely = 9
compliance = 6
compliancetosend = 2
compliments = 2
comply = 12
complying = 6
composed = 4
composedlycreeping = 2
composehimi = 2
computer = 2
computersincluding = 2
computersit = 2
conceive = 2
concept = 2
conception = 2
concern = 10
concerned = 9
concerning = 9
concerningalso = 9
concerningthe = 2
concluded = 14
condition = 13
conditions = 12
conference = 2
confidantwhen = 2
confidence = 12
confident = 15
confidentialtalk = 7
confidently = 2
confirmation = 2
confirmed = 2
confounded = 2
confronted = 7
confused = 7
confusion = 12
connected = 9
conqueredwhen = 7
conscience = 2
conscious = 7
consciousness = 2
consequential = 2
considerable = 4
considerableeffort = 2
considered = 9
constant = 4
contact = 4
contain = 2
containdefects = 2
contained = 10
containing = 2
contemptuous = 2
content = 16
contents = 9
continually = 2
continue = 10
continued = 24
continuedattack = 2
continuedin = 7
continuing = 7
continuingpropitious = 2
continuously = 2
contract = 2
contrary = 4
contributions = 2
control = 2
convenient = 2
convert = 2
cook = 37
cookay = 2
cookbut = 2
cooks = 2
cookwonderful = 2
coolie = 2
coolshadow = 7
copiedand = 2
copies = 14
copy = 25
copying = 4
copyis = 2
copyright = 24
cork = 9
corked = 10
corkin = 7
corporation = 2
correctedpage = 2
corroborated = 2
cost = 15
costs = 4
cotch = 7
cotched = 7
cotchedthe = 7
cottage = 4
cottages = 13
cottagesmelting = 2
cotton = 2
could = 301
couldall = 7
couldinterfere = 2
couldnot = 7
couldnt = 19
couldntsee = 7
couldrelief = 7
couldswim = 7
couldwith = 7
count = 6
counted = 4
counting = 2
countries = 2
country = 10
countryand = 7
couple = 7
courage = 52
courageand = 10
couragearchie = 2
courageas = 2
couragechapter = 2
courageous = 7
course = 62
courseand = 2
coursebill = 2
coursefrothy = 7
coursefull = 2
coursei = 2
courtesy = 7
courts = 2
cove = 142
coveall = 2
coveand = 2
covebut = 2
covecocked = 7
covelaughed = 7
covemay = 7
coveno = 2
coveof = 10
coveonce = 2
cover = 2
covered = 25
coveredhalf = 2
coveredwhat = 7
coves = 7
covethe = 2
covethere = 2
coveto = 7
covewhich = 7
coward = 9
crack = 10
cracked = 6
crackingand = 7
cracks = 2
craft = 7
cramped = 7
craning = 7
cranky = 7
crash = 6
crasha = 2
crashed = 2
crashing = 10
cravat = 4
